OBJECTID,area_ac,Shape__Area,Shape__Length
443,2.47,107625.34765625,1312.30202223207
444,2.47,107627.739257813,1312.31566131766
445,2.47,107627.673828125,1312.31525863203
446,971.12,42297342.3173828,64238.688828248
447,2.47,107625.513671875,1312.30291338831
448,4.94,215255.73828125,1973.05376688641
449,2.47,107624.44140625,1312.2967848717
450,9.88,430496.454101563,3285.45958937496
451,4.94,215250.880859375,1963.7940004306
452,4.94,215252.237304688,1963.82042418113
453,2.47,107626.250976563,1312.30704521292
454,2.47,107625.274414063,1312.30148080816
455,2.47,107625.16015625,1312.30083070238
456,42.01,1829616.8671875,5900.6327501545
457,74.13,3228831.60253906,9177.03406067975
458,2.47,107627.631835938,1312.31490138816
459,7.41,322881.801757813,2624.62497311797
460,2.47,107625.920898438,1312.30513192315
461,2.47,107624.684570313,1312.29810530172
462,4.94,215255.797851563,1963.88658558027
463,9.88,430503.682617188,3276.1121601009
464,4.94,215250.147460938,1963.76716072564
465,2.47,107624.971679688,1312.29971182018
466,4.94,215250.426757813,1963.77351730124
467,24.71,1076264.39160156,5900.75504501522
468,2.47,107625.469726563,1312.30255556724
469,7.41,322884.982421875,2633.78604138228
470,2.47,107626.686523438,1312.30945256219
471,2.47,107626.24609375,1312.30691338182
472,2.47,107626.268554688,1312.30706709904
473,19.77,861028.623046875,4588.55662596868
474,2.47,107629.004882813,1312.3228000638
475,2.47,107628.40234375,1312.31929371324
476,2.47,107628.76953125,1312.32145275594
477,9.88,430516.123046875,3276.2535887117
478,2.47,107628.8125,1312.32164411299
479,4.94,215249.450195313,1963.7452261092
480,2.47,107629.115234375,1312.32341437072
481,2.47,107628.998046875,1312.32275869401
482,2.47,107626.28125,1312.30710272879
483,14.83,645772.484375,3927.83675707173
484,27.18,1183897.95898438,6580.01702449964
485,106.25,4627933.27636719,14444.6709208621
486,2.47,107628.834960938,1312.32180855626
487,17.3,753397.717773438,4588.53850533165
488,2.47,107626.46484375,1312.3081273594
489,29.65,1291551.97167969,6570.72117738863
490,19.77,861029.141601563,5873.45945064987
491,24.71,1076284.55175781,7194.91396289234
492,2.47,107626.405273438,1312.30783926581
493,19.77,861033.47265625,4588.58235648038
494,2.47,107628.606445313,1312.320430695
495,22.24,968638.954101563,6561.54369339
496,165.56,7211081.515625,15077.9023696739
497,9.88,430514.966796875,3276.23660983445
498,2.47,107626.28515625,1312.3070797088
499,2.47,107625.5625,1312.30294647925
500,39.54,1721997.82714844,5249.19609280634
501,86.49,3767027.78808594,12471.6334727332
502,2.47,107629.103515625,1312.32333588891
503,2.47,107625.63671875,1312.3033965165
504,7.41,322883.055664063,2615.43408327419
505,2.47,107629.111328125,1312.32339461475
506,71.66,3121235.13769531,15077.9967839943
507,4.94,215251.077148438,1963.78644519664
508,4.94,215255.444335938,1963.87590212644
509,4.94,215257.771484375,1963.92085082566
510,2.47,107628.877929688,1312.32201437063
511,2.47,107626.392578125,1312.307688074
512,249.58,10870513.7431641,40039.5221680092
513,2.47,107628.93359375,1312.32233132599
514,12.36,538144.974609375,3936.96775653045
515,4.94,215257.99609375,1963.9225561124
516,2.47,107628.956054688,1312.32243179904
517,22.24,968659.16796875,4606.82361438917
518,22.24,968657.090820313,5910.01375028822
519,2.47,107628.662109375,1312.32074505168
520,1289.88,56181713.8457031,51161.9308114149
521,2.47,107627.690429688,1312.31510511767
522,2.47,107628.681640625,1312.32085270045
523,4.94,215257.869140625,1963.91844664275
524,19.77,861037.890625,3936.98055859184
525,859.92,33959642.0761719,42089.4598527227
526,1270.12,55321114.6347656,47142.9495189705
527,2.47,107630.044921875,1312.32873498655
528,153.2,6672958.99804688,13114.0268077295
529,9.88,430511.998046875,3285.38346362988
530,202.63,8825591.37597656,35975.0726528669
531,2.47,107628.077148438,1312.31734731539
532,7.41,322883.7578125,2624.63277719573
533,42.01,1829687.12890625,5900.86959245122
534,19.77,861032.796875,5258.41782023147
535,22.24,968663.408203125,5928.24110766377
536,9.88,430516.296875,3285.37056045405
537,2.47,107625.51953125,1312.30259877141
538,4.94,215258.836914063,1973.04114104494
539,19.77,861037.295898438,4588.5951625284
