GEO_ID,FIPS,NAME,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0076E,DP05_0081E,DP05_0069PE,DP05_0070PE,DP05_0071PE,DP05_0072PE,DP05_0073PE,DP05_0074PE,DP05_0076PE,DP05_0082PE,Percent Nonwhite
1400000U,06037113424,Census Tract 1134.24; Los Angeles County; California,3133,1485,100,53,497,0,1357,1530,1603,47.4,3.2,1.7,15.9,0,43.3,48.8,30,70
1400000U,06037113425,Census Tract 1134.25; Los Angeles County; California,4254,1575,362,19,675,14,2154,2654,1600,37,8.5,0.4,15.9,0.3,50.6,62.4,13.4,86.6
1400000U,06037113426,Census Tract 1134.26; Los Angeles County; California,2302,1198,49,0,572,0,1030,1036,1266,52,2.1,0,24.8,0,44.7,45,29.1,70.9
1400000U,06037113427,Census Tract 1134.27; Los Angeles County; California,2386,754,208,22,371,0,1212,1366,1020,31.6,8.7,0.9,15.5,0,50.8,57.3,18.5,81.5
1400000U,06037113428,Census Tract 1134.28; Los Angeles County; California,4120,2638,85,76,739,0,1069,1303,2817,64,2.1,1.8,17.9,0,25.9,31.6,49.1,50.9
1400000U,06037115101,Census Tract 1151.01; Los Angeles County; California,5034,3579,68,46,1038,50,955,953,4081,71.1,1.4,0.9,20.6,1,19,18.9,56.6,43.4
1400000U,06037115103,Census Tract 1151.03; Los Angeles County; California,2606,1455,292,26,655,17,466,739,1867,55.8,11.2,1,25.1,0.7,17.9,28.4,35.7,64.3
1400000U,06037115104,Census Tract 1151.04; Los Angeles County; California,4404,1877,632,167,936,0,1100,1244,3160,42.6,14.4,3.8,21.3,0,25,28.2,31.2,68.8
1400000U,06037115202,Census Tract 1152.02; Los Angeles County; California,6034,2746,394,99,1195,52,2388,2651,3383,45.5,6.5,1.6,19.8,0.9,39.6,43.9,26.8,73.2
1400000U,06037115203,Census Tract 1152.03; Los Angeles County; California,1929,1031,80,24,412,0,651,746,1183,53.4,4.1,1.2,21.4,0,33.7,38.7,34.6,65.4
1400000U,06037115204,Census Tract 1152.04; Los Angeles County; California,3953,1726,690,62,590,0,1227,1239,2714,43.7,17.5,1.6,14.9,0,31,31.3,35.5,64.5
1400000U,06037115301,Census Tract 1153.01; Los Angeles County; California,4438,2374,236,134,1391,0,1004,1094,3344,53.5,5.3,3,31.3,0,22.6,24.7,38.4,61.6
1400000U,06037115302,Census Tract 1153.02; Los Angeles County; California,3839,817,131,222,432,14,2478,2918,921,21.3,3.4,5.8,11.3,0.4,64.5,76,12,88
1400000U,06037115401,Census Tract 1154.01; Los Angeles County; California,5637,2785,492,162,1027,6,1748,2316,3321,49.4,8.7,2.9,18.2,0.1,31,41.1,32,68
1400000U,06037115403,Census Tract 1154.03; Los Angeles County; California,3379,1221,263,202,475,26,1767,1869,1510,36.1,7.8,6,14.1,0.8,52.3,55.3,21.2,78.8
1400000U,06037115404,Census Tract 1154.04; Los Angeles County; California,2619,967,158,18,780,0,1106,1265,1354,36.9,6,0.7,29.8,0,42.2,48.3,18.8,81.2
1400000U,06037117101,Census Tract 1171.01; Los Angeles County; California,5233,1911,398,14,1864,0,1490,2009,3224,36.5,7.6,0.3,35.6,0,28.5,38.4,18.1,81.9
1400000U,06037117102,Census Tract 1171.02; Los Angeles County; California,2427,1124,80,15,296,0,1188,1427,1000,46.3,3.3,0.6,12.2,0,48.9,58.8,23.7,76.3
1400000U,06037117201,Census Tract 1172.01; Los Angeles County; California,4108,1481,192,72,703,0,2325,2441,1667,36.1,4.7,1.8,17.1,0,56.6,59.4,14.6,85.4
1400000U,06037117202,Census Tract 1172.02; Los Angeles County; California,2818,1549,229,76,780,18,834,1115,1703,55,8.1,2.7,27.7,0.6,29.6,39.6,25.6,74.4
1400000U,06037117301,Census Tract 1173.01; Los Angeles County; California,3808,2411,408,46,577,0,1219,1740,2068,63.3,10.7,1.2,15.2,0,32,45.7,30.1,69.9
1400000U,06037117302,Census Tract 1173.02; Los Angeles County; California,4950,2867,370,83,1218,16,1109,1508,3442,57.9,7.5,1.7,24.6,0.3,22.4,30.5,37.8,62.2
1400000U,06037117303,Census Tract 1173.03; Los Angeles County; California,4162,2132,36,5,999,0,1673,2132,2030,51.2,0.9,0.1,24,0,40.2,51.2,28.4,71.6
1400000U,06037117404,Census Tract 1174.04; Los Angeles County; California,5216,2371,420,142,971,0,2239,2519,2697,45.5,8.1,2.7,18.6,0,42.9,48.3,28.9,71.1
1400000U,06037117405,Census Tract 1174.05; Los Angeles County; California,3048,1061,40,0,32,0,2624,2787,261,34.8,1.3,0,1,0,86.1,91.4,5.5,94.5
1400000U,06037117407,Census Tract 1174.07; Los Angeles County; California,3185,691,116,131,50,0,2630,2971,214,21.7,3.6,4.1,1.6,0,82.6,93.3,1.9,98.1
1400000U,06037117408,Census Tract 1174.08; Los Angeles County; California,2505,677,230,58,204,0,1707,1891,614,27,9.2,2.3,8.1,0,68.1,75.5,7.6,92.4
1400000U,06037117510,Census Tract 1175.10; Los Angeles County; California,3790,1327,322,90,192,0,2587,2984,806,35,8.5,2.4,5.1,0,68.3,78.7,8.6,91.4
1400000U,06037117520,Census Tract 1175.20; Los Angeles County; California,4345,1444,154,114,260,0,3391,3707,638,33.2,3.5,2.6,6,0,78,85.3,6.3,93.7
1400000U,06037117530,Census Tract 1175.30; Los Angeles County; California,5741,1997,311,89,831,16,3535,4053,1688,34.8,5.4,1.6,14.5,0.3,61.6,70.6,9.5,90.5
1400000U,06037119001,Census Tract 1190.01; Los Angeles County; California,4283,2078,44,167,1015,16,2145,2880,1403,48.5,1,3.9,23.7,0.4,50.1,67.2,8.9,91.1
1400000U,06037119003,Census Tract 1190.03; Los Angeles County; California,3332,1967,7,85,306,0,1875,2905,427,59,0.2,2.6,9.2,0,56.3,87.2,4.1,95.9
1400000U,06037119004,Census Tract 1190.04; Los Angeles County; California,2759,1508,0,21,213,0,1604,2281,478,54.7,0,0.8,7.7,0,58.1,82.7,9.6,90.4
1400000U,06037119201,Census Tract 1192.01; Los Angeles County; California,3976,1819,41,117,190,0,2980,3459,517,45.7,1,2.9,4.8,0,74.9,87,6.3,93.7
1400000U,06037119202,Census Tract 1192.02; Los Angeles County; California,4674,2154,22,194,362,26,2979,4215,459,46.1,0.5,4.2,7.7,0.6,63.7,90.2,2.5,97.5
1400000U,06037119310,Census Tract 1193.10; Los Angeles County; California,3767,1418,211,41,718,2,1992,2115,1652,37.6,5.6,1.1,19.1,0.1,52.9,56.1,23.5,76.5
1400000U,06037119320,Census Tract 1193.20; Los Angeles County; California,4292,851,161,48,613,10,2828,3102,1190,19.8,3.8,1.1,14.3,0.2,65.9,72.3,9.7,90.3
1400000U,06037119340,Census Tract 1193.40; Los Angeles County; California,3748,573,147,301,112,0,3073,3413,335,15.3,3.9,8,3,0,82,91.1,3.4,96.6
1400000U,06037119341,Census Tract 1193.41; Los Angeles County; California,2744,527,72,58,695,27,1603,1798,946,19.2,2.6,2.1,25.3,1,58.4,65.5,5.3,94.7
